"","Sample_ID","taxon","taxonomic_level","assigned_taxon_class","reads","PCR_replicate","vial_id","collection_year","ReadsPerSample","read_prop","mid_latitude","mid_longitude","lme","Diatom_Indicator_percWT","Total_FA_Conc_WWT","gear_temperature"
"71","e02802-1-18S","Cyclotrichium cyclokaryon","species","Litostomatea",0,1,"162-35",2022,886.2801896,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"72","e02802-1-18S","Cyranomonas australis","species","Imbricatea",0,1,"162-35",2022,886.2801896,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"73","e02802-1-18S","Dichomitus squalens","species","Fungi",66,1,"162-35",2022,886.2801896,0.0744685493080776,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"74","e02802-1-18S","Ebria tripartita","species","Ebriophyceae",0,1,"162-35",2022,886.2801896,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"75","e02802-1-18S","Esquamula lacrimiformis","species","Imbricatea",0,1,"162-35",2022,886.2801896,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"76","e02802-1-18S","Gastropoda","class","Gastropoda",0,1,"162-35",2022,886.2801896,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"77","e02802-1-18S","Mamiellaceae","family","Mamiellophyceae",14,1,"162-35",2022,886.2801896,0.0157963589441377,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"78","e02802-1-18S","Mammalia","class","Mammalia",0,1,"162-35",2022,886.2801896,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"79","e02802-1-18S","Mataza hastifera","species","Thecofilosea",22,1,"162-35",2022,886.2801896,0.0248228497693592,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"80","e02802-1-18S","Pleurocybella porrigens","species","Fungi",0,1,"162-35",2022,886.2801896,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"81","e02802-1-18S","Polychaeta","class","Polychaeta",0,1,"162-35",2022,886.2801896,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"82","e02802-1-18S","Schizoporaceae","family","Fungi",0,1,"162-35",2022,886.2801896,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"83","e02802-1-18S","Strombidium biarmatum","species","Spirotrichea",86,1,"162-35",2022,886.2801896,0.0970347763711315,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"84","e02802-1-18S","Thaumatomonadida","order","Imbricatea",33,1,"162-35",2022,886.2801896,0.0372342746540388,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"85","e02802-1-18S","Tintinnidium cf. primitivum","species","Spirotrichea",13,1,"162-35",2022,886.2801896,0.014668047590985,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"86","e02802-1-18S","Tremellales","order","Fungi",0,1,"162-35",2022,886.2801896,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"87","e02802-1-18S","Triparmaceae","family","Bolidophyceae",0,1,"162-35",2022,886.2801896,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"88","e02802-2-18S","Actinopteri","class","Actinopteri",0,2,"162-35",2022,654.3769055,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"89","e02802-2-18S","Agaricales","order","Fungi",0,2,"162-35",2022,654.3769055,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"90","e02802-2-18S","Agaricomycetes","class","Fungi",0,2,"162-35",2022,654.3769055,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"91","e02802-2-18S","Amylocorticium cebennense","species","Fungi",0,2,"162-35",2022,654.3769055,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"92","e02802-2-18S","Ascomycota","phylum","Fungi",0,2,"162-35",2022,654.3769055,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"93","e02802-2-18S","Ascomycota/Basidiomycota","phylum","Fungi",0,2,"162-35",2022,654.3769055,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"94","e02802-2-18S","Auranticordis quadriverberis","species","Imbricatea",20,2,"162-35",2022,654.3769055,0.0305634258053748,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"95","e02802-2-18S","Basidiomycota","phylum","Fungi",0,2,"162-35",2022,654.3769055,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"96","e02802-2-18S","Cercozoa","phylum","Imbricatea",16,2,"162-35",2022,654.3769055,0.0244507406442998,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"97","e02802-2-18S","Chaetoceros","genus","Bacillariophyceae",459.3769055,2,"162-35",2022,654.3769055,0.702006598397596,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"98","e02802-2-18S","Coscinodiscophyceae","class","Coscinodiscophyceae",8,2,"162-35",2022,654.3769055,0.0122253703221499,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"99","e02802-2-18S","Curvibasidium","genus","Fungi",0,2,"162-35",2022,654.3769055,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"100","e02802-2-18S","Cyclotrichium cyclokaryon","species","Litostomatea",0,2,"162-35",2022,654.3769055,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"101","e02802-2-18S","Cyranomonas australis","species","Imbricatea",0,2,"162-35",2022,654.3769055,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"102","e02802-2-18S","Dichomitus squalens","species","Fungi",44,2,"162-35",2022,654.3769055,0.0672395367718245,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"103","e02802-2-18S","Ebria tripartita","species","Ebriophyceae",0,2,"162-35",2022,654.3769055,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"104","e02802-2-18S","Esquamula lacrimiformis","species","Imbricatea",17,2,"162-35",2022,654.3769055,0.0259789119345686,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"105","e02802-2-18S","Gastropoda","class","Gastropoda",0,2,"162-35",2022,654.3769055,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"106","e02802-2-18S","Mamiellaceae","family","Mamiellophyceae",0,2,"162-35",2022,654.3769055,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"107","e02802-2-18S","Mammalia","class","Mammalia",0,2,"162-35",2022,654.3769055,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"108","e02802-2-18S","Mataza hastifera","species","Thecofilosea",11,2,"162-35",2022,654.3769055,0.0168098841929561,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
